,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
17,2022,8,116.7,116.81,118.09,115.69,-0.27,3.57,117.08,115.63,113.74,128.92,122.44,121.88,122.82,121.13,2.68,108.76,110.38,110.97,108.41,-5.44
18,2022,9,103.74,103.94,105.21,102.54,-0.58,-11.43,104.87,110.13,113.06,125.02,111.47,111.59,112.24,110.53,2.79,95.81,97.38,98.94,95.69,-5.86
19,2022,10,99.11,98.8,100.57,97.65,-0.03,-4.87,99.39,100.2,107.3,120.36,104.55,103.57,104.72,102.65,4.3,92.27,92.2,94.83,91.57,-9.63
20,2022,11,93.78,93.79,95.25,92.35,0.38,-5.35,93.46,94.62,98.91,115.85,101.09,98.66,101.09,97.55,7.75,83.19,85.2,86.24,83.15,-4.39
21,2022,12,92.4,92.77,93.83,91.47,-0.62,-0.71,93.35,95.42,95.78,111.76,100.92,101.04,102.22,100.31,2.88,86.15,86.72,88.2,86.06,-4.31
22,2023,1,93.68,93.12,94.58,92.11,0.61,0.95,92.57,90.61,93.14,107.24,100.85,99.19,101.22,98.62,5.72,86.46,86.41,87.89,85.26,-2.74
23,2023,2,96.46,96.33,97.81,94.99,-0.48,5.0,97.43,97.79,94.2,104.19,108.41,106.41,108.43,106.16,7.27,89.03,89.22,89.81,88.54,-7.44
24,2023,3,98.21,97.59,99.32,96.74,0.64,2.29,97.13,94.94,95.28,102.14,105.88,105.51,107.13,105.03,4.68,90.19,89.54,90.87,89.45,-2.83
25,2023,4,105.97,105.61,106.99,104.54,0.22,8.43,105.48,103.7,98.83,101.22,109.07,107.41,109.24,107.2,3.76,104.08,102.3,104.57,102.01,-2.78
26,2023,5,116.33,115.85,117.65,114.9,0.61,10.32,114.78,109.75,104.7,100.84,125.42,125.84,126.6,123.01,4.11,104.83,104.94,105.92,104.13,-2.05
27,2023,6,122.79,122.57,124.19,121.42,-0.08,6.38,123.14,122.62,114.32,101.5,127.45,127.12,129.09,125.52,2.15,118.58,117.42,119.47,116.49,-3.89
28,2023,7,123.11,123.18,124.63,121.98,0.5,0.11,121.96,121.5,120.6,103.13,132.63,132.53,133.59,131.66,5.59,116.45,116.34,117.8,115.42,-2.72
29,2023,8,130.68,130.54,132.07,129.44,0.15,6.16,130.31,127.91,124.51,106.31,136.86,136.56,137.9,136.33,2.81,127.65,127.39,128.8,126.55,-2.46
30,2023,9,134.71,134.75,135.94,133.45,-0.2,3.61,135.15,133.89,129.42,110.48,138.49,138.33,139.43,137.14,1.55,128.99,128.98,130.93,127.73,-3.05
31,2023,10,134.87,134.76,136.17,133.29,-0.2,-0.03,135.51,135.37,133.78,114.92,141.19,141.65,141.87,139.34,2.52,122.96,123.59,123.99,121.03,-9.6
32,2023,11,134.39,134.12,135.39,133.13,0.32,-0.51,133.33,132.62,134.2,119.11,139.52,139.04,140.59,138.5,1.81,127.11,124.89,127.28,124.48,-1.82
33,2023,12,136.42,136.16,137.52,135.22,0.27,1.92,135.89,135.38,134.35,123.16,142.31,142.47,143.43,141.99,5.34,130.16,129.9,130.98,128.94,-2.02
34,2024,1,144.91,144.56,146.07,143.55,0.05,6.5,144.18,140.7,137.0,127.48,154.29,153.46,154.64,152.37,2.29,136.9,137.51,138.31,136.36,-7.35
35,2024,2,143.55,143.6,144.78,142.16,-0.06,-0.47,144.54,146.09,141.93,131.61,149.68,149.0,150.16,148.03,2.04,136.94,137.85,138.78,136.15,-4.5
36,2024,3,142.97,142.85,144.38,141.59,0.44,-0.93,141.68,140.81,143.38,134.09,151.71,151.6,152.65,150.79,4.44,132.09,132.26,133.54,131.08,-2.81
37,2024,4,158.16,157.81,159.8,156.31,0.39,11.12,156.82,152.34,146.43,137.17,173.07,175.36,175.79,170.79,9.97,151.4,151.14,154.29,150.54,-3.33
38,2024,5,172.95,172.35,173.99,171.03,0.26,9.42,172.21,166.68,156.68,141.85,178.9,178.14,179.31,176.68,1.85,164.98,165.25,167.93,164.31,-2.16
39,2024,6,178.75,178.32,180.1,177.13,0.29,3.51,177.67,176.02,168.59,146.51,186.4,185.27,187.04,185.0,2.65,173.8,173.26,174.56,171.83,-1.84
40,2024,7,181.75,182.26,183.92,180.34,-0.25,2.13,182.94,183.17,177.98,151.46,192.19,191.28,192.84,190.15,2.44,168.27,168.36,169.42,165.46,-5.03
41,2024,8,164.92,164.95,166.93,163.25,-0.2,-9.08,165.58,170.04,176.94,155.45,172.03,171.56,175.25,170.09,2.22,160.15,156.99,161.95,156.22,-4.61
42,2024,9,159.11,159.78,161.06,157.92,0.08,-3.57,159.0,160.88,168.57,158.35,167.0,165.15,167.17,164.45,2.23,149.37,150.92,152.13,148.03,-4.08
43,2024,10,166.72,167.19,168.74,165.32,0.15,4.32,166.07,164.14,163.06,161.28,175.94,182.2,183.58,175.55,2.92,162.88,161.93,164.12,160.94,-2.47
44,2024,11,174.96,174.75,176.32,173.04,-0.05,5.5,175.2,172.18,166.65,164.22,183.11,181.94,183.82,180.78,4.04,166.38,166.97,168.07,165.12,-4.56
45,2024,12,188.25,187.58,190.43,185.79,0.56,7.56,186.13,179.56,173.93,167.93,198.16,198.53,202.88,196.69,5.46,172.78,170.13,173.4,170.08,-3.54
46,2025,1,196.83,196.48,198.96,194.82,0.4,5.49,195.87,194.18,184.58,172.93,205.6,203.71,207.08,203.58,3.1,190.63,191.35,192.49,188.66,-4.03
47,2025,2,187.88,188.57,190.04,186.22,-0.93,-3.81,190.78,195.31,192.06,176.39,207.71,204.5,208.7,204.26,2.5,174.7,176.95,178.08,173.59,-6.94
