,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
20,2022,11,322.72,322.76,328.23,317.06,0.44,8.08,321.35,312.42,311.0,393.33,345.96,348.41,350.97,342.56,10.4,285.75,288.97,291.01,278.23,-5.08
21,2022,12,335.69,336.43,340.94,331.15,-0.1,4.74,335.7,333.77,318.07,377.96,344.11,353.63,355.67,341.5,2.99,326.68,325.71,331.0,324.35,-3.3
22,2023,1,349.57,347.97,353.34,343.99,0.5,4.07,346.29,339.61,333.67,367.11,370.71,365.9,373.42,364.01,4.04,328.44,332.28,334.88,322.44,-3.8
23,2023,2,363.15,363.53,368.47,359.07,-0.67,5.42,367.65,365.25,348.77,360.85,392.23,393.28,402.49,388.88,3.67,320.54,322.02,325.1,318.6,-7.63
24,2023,3,354.11,353.12,358.1,349.14,0.78,-1.58,349.18,348.09,353.67,354.92,385.37,382.29,385.73,380.26,5.9,323.38,323.38,325.26,321.0,-3.34
25,2023,4,376.62,376.45,379.55,372.49,-0.1,7.46,377.66,372.49,360.83,352.68,385.15,384.09,386.0,381.05,2.41,363.06,365.94,369.45,357.25,-2.05
26,2023,5,364.08,363.49,369.3,358.53,0.5,-3.46,360.22,363.15,363.67,350.08,417.79,429.94,432.99,416.08,7.19,335.45,337.35,340.79,331.89,-6.35
27,2023,6,467.16,465.98,474.33,460.45,0.77,29.59,460.34,420.55,388.47,350.15,495.18,518.23,518.74,494.62,4.95,418.32,412.29,430.6,412.29,-3.37
28,2023,7,512.54,509.98,517.35,505.68,0.57,10.94,508.02,493.08,438.24,365.75,546.17,541.87,552.94,541.87,3.27,481.29,479.99,482.5,475.0,-2.05
29,2023,8,525.09,524.83,531.22,518.97,0.12,2.72,523.6,522.39,498.61,390.12,559.34,547.0,562.1,546.76,2.71,508.13,504.65,510.05,503.9,-3.44
30,2023,9,536.2,536.41,542.08,530.63,-0.45,2.92,540.39,538.45,526.54,413.19,564.88,568.9,570.24,558.52,2.09,502.6,500.0,508.68,498.7,-4.21
31,2023,10,534.45,534.23,541.93,526.96,0.21,-0.44,532.86,529.18,531.55,433.49,560.09,560.0,574.4,554.24,3.7,507.03,508.24,519.76,504.55,-3.41
32,2023,11,595.54,593.28,600.55,588.25,0.67,11.48,586.75,562.2,544.33,456.05,623.32,625.94,628.6,616.77,3.49,544.5,535.0,545.27,534.0,-1.49
33,2023,12,603.57,602.84,608.51,597.1,-0.1,2.44,605.55,607.61,575.2,481.46,633.66,630.41,633.89,623.0,2.49,584.64,580.6,591.66,578.2,-6.35
34,2024,1,597.81,595.57,602.79,590.25,0.18,-1.11,595.28,593.97,596.53,506.03,630.23,630.0,636.25,620.89,3.01,564.6,563.5,569.52,563.34,-2.77
35,2024,2,585.56,588.5,594.86,579.26,-0.46,-1.43,592.23,605.49,601.02,529.78,634.76,633.03,638.25,624.54,2.95,537.57,531.5,542.57,528.01,-7.41
36,2024,3,534.97,535.46,541.81,527.77,-0.45,-9.57,540.05,556.72,583.52,548.62,579.14,579.06,585.35,573.41,4.35,492.46,495.55,503.13,485.0,-13.67
37,2024,4,479.81,481.63,485.1,475.44,-0.38,-10.44,483.03,500.45,541.11,553.2,502.09,504.99,506.92,499.31,1.71,462.83,468.41,471.5,462.28,-2.16
38,2024,5,478.98,479.76,484.37,474.01,-0.17,-0.14,480.34,478.61,497.13,549.68,493.59,492.51,496.76,489.14,2.02,444.76,447.72,448.23,433.97,-6.64
39,2024,6,495.4,494.33,500.81,489.4,1.23,2.68,485.97,475.12,478.05,544.52,555.54,549.7,558.48,548.01,14.51,439.02,442.82,449.84,436.58,-1.74
40,2024,7,556.16,556.86,561.8,550.85,-0.03,14.37,556.23,541.77,503.79,545.13,578.34,573.18,580.55,568.92,2.4,531.04,535.35,542.28,527.59,-2.74
41,2024,8,546.75,545.5,552.47,540.35,0.2,-1.57,544.42,542.19,533.58,545.94,574.41,572.2,578.4,568.29,3.24,509.32,504.23,515.9,500.0,-3.7
42,2024,9,541.88,543.63,547.87,535.94,-0.49,-0.18,547.18,556.35,550.27,542.81,586.55,581.45,587.75,572.98,3.6,508.13,513.83,516.68,506.49,-8.47
43,2024,10,494.86,496.87,501.35,491.19,-0.34,-8.65,497.84,510.9,534.77,533.04,509.65,517.45,519.0,506.8,2.87,478.08,481.92,486.05,477.38,-3.93
44,2024,11,506.82,505.42,512.09,499.54,0.4,2.29,503.33,496.29,510.44,521.78,532.5,530.55,539.92,523.46,4.35,481.35,475.41,483.76,475.05,-5.0
45,2024,12,484.28,484.31,490.36,478.43,-0.65,-3.66,491.08,507.65,501.58,514.0,552.96,556.1,557.9,546.11,3.92,437.39,433.02,447.6,432.47,-13.69
46,2025,1,429.96,429.55,434.64,425.55,-0.07,-11.36,430.41,442.41,480.27,505.31,446.0,447.76,450.12,440.56,2.31,405.92,404.27,409.96,403.75,-3.26
47,2025,2,448.61,448.94,453.23,443.58,0.06,4.85,448.43,439.72,455.11,501.47,464.11,465.21,465.7,458.0,4.16,433.07,435.43,439.96,430.88,-2.28
