Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-09 00:00:00+01:00,246.0,0.53,3.93,4.81,3.71,13.89,38.54,ADS.DE,EQUITY,adidas AG,Consumer Cyclical,Footwear & Accessories,https://www.adidas-group.com
2025-01-09 00:00:00+01:00,156.58,-1.26,-2.22,1.98,23.45,15.05,10.07,AIR.PA,EQUITY,Airbus SE,Industrials,Aerospace & Defense,https://www.airbus.com
2025-01-09 00:00:00+01:00,300.5,-0.36,1.25,1.01,2.98,16.16,29.96,ALV.DE,EQUITY,Allianz SE,Financial Services,Insurance - Diversified,https://www.allianz.com
2025-01-09 00:00:00+01:00,41.91,-0.12,-1.62,-4.63,-11.28,-6.28,-1.34,BAS.DE,EQUITY,BASF SE,Basic Materials,Chemicals,https://www.basf.com
2025-01-09 00:00:00+01:00,19.76,0.47,1.91,2.72,-35.0,-23.58,-44.26,BAYN.DE,EQUITY,Bayer Aktiengesellschaft,Healthcare,Drug Manufacturers - General,https://www.bayer.com
2025-01-09 00:00:00+01:00,128.1,0.87,3.56,4.15,-4.58,-6.22,-5.77,BEI.DE,EQUITY,Beiersdorf Aktiengesellschaft,Consumer Defensive,Household & Personal Products,https://www.beiersdorf.com
2025-01-09 00:00:00+01:00,75.52,-1.62,-3.3,5.18,-2.71,-14.2,-20.46,BMW.DE,EQUITY,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,Auto Manufacturers,https://www.bmwgroup.com
2025-01-09 00:00:00+01:00,57.0,-3.06,-2.73,-6.43,-14.41,-9.81,-28.63,BNR.DE,EQUITY,Brenntag SE,Basic Materials,Specialty Chemicals,https://www.brenntag.com
2025-01-09 00:00:00+01:00,16.79,2.94,7.9,15.08,4.77,15.63,46.64,CBK.DE,EQUITY,Commerzbank AG,Financial Services,Banks - Regional,https://www.commerzbank.com
2025-01-09 00:00:00+01:00,63.72,-2.21,-0.75,0.57,12.06,21.33,-11.76,CON.DE,EQUITY,Continental Aktiengesellschaft,Consumer Cyclical,Auto Parts,https://www.continental.com
2025-01-09 00:00:00+01:00,56.3,0.93,0.79,-2.7,-3.26,3.08,9.75,1COV.DE,EQUITY,Covestro AG,Basic Materials,Specialty Chemicals,https://www.covestro.com
2025-01-09 00:00:00+01:00,39.33,-1.43,7.75,10.94,17.83,7.22,25.94,DTG.DE,EQUITY,Daimler Truck Holding AG,Industrials,Farm & Heavy Construction Machinery,https://www.daimlertruck.com
2025-01-09 00:00:00+01:00,17.14,1.87,1.95,2.43,11.21,12.59,38.9,DBK.DE,EQUITY,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,https://www.db.com
2025-01-09 00:00:00+01:00,228.7,1.24,2.19,3.67,7.57,19.9,25.67,DB1.DE,EQUITY,Deutsche Börse AG,Financial Services,Financial Data & Stock Exchanges,https://deutsche-boerse.com/dbg-de/
2025-01-09 00:00:00+01:00,34.0,-1.71,0.24,-3.08,-12.05,-11.73,-20.32,DHL.DE,EQUITY,Deutsche Post AG,Industrials,Integrated Freight & Logistics,https://group.dhl.com
2025-01-09 00:00:00+01:00,29.26,0.58,0.31,-4.25,11.17,24.46,34.59,DTE.DE,EQUITY,Deutsche Telekom AG,Communication Services,Telecom Services,https://www.telekom.com
2025-01-09 00:00:00+01:00,11.06,-1.65,-3.87,-8.18,-15.93,-8.75,-9.93,EOAN.DE,EQUITY,E.ON SE,Utilities,Utilities - Diversified,https://www.eon.com
2025-01-09 00:00:00+01:00,35.07,2.63,4.72,3.54,2.39,23.44,23.57,FRE.DE,EQUITY,Fresenius SE & Co. KGaA,Healthcare,Medical Care Facilities,https://www.fresenius.com
2025-01-09 00:00:00+01:00,254.7,-0.16,3.03,1.07,1.23,9.45,17.24,HNR1.DE,EQUITY,Hannover Rück SE,Financial Services,Insurance - Reinsurance,https://www.hannover-re.com
2025-01-09 00:00:00+01:00,127.8,2.16,5.97,3.19,31.29,34.58,58.09,HEI.DE,EQUITY,Heidelberg Materials AG,Basic Materials,Building Materials,https://www.heidelbergmaterials.de
2025-01-09 00:00:00+01:00,84.76,0.69,1.88,4.0,3.19,2.47,17.85,HEN3.DE,EQUITY,Henkel AG & Co. KGaA,Consumer Defensive,Household & Personal Products,https://www.henkel.com
2025-01-09 00:00:00+01:00,32.28,-1.3,2.82,1.53,5.37,-5.45,-7.32,IFX.DE,EQUITY,Infineon Technologies AG,Technology,Semiconductors,https://www.infineon.com
2025-01-09 00:00:00+01:00,53.06,-0.47,0.34,2.04,-7.48,-18.03,-10.36,MBG.DE,EQUITY,Mercedes-Benz Group AG,Consumer Cyclical,Auto Manufacturers,https://group.mercedes-benz.com
2025-01-09 00:00:00+01:00,142.0,-2.07,1.18,-0.28,-9.78,-5.33,0.66,MRK.DE,EQUITY,Merck KGaA,Healthcare,Drug Manufacturers - Specialty & Generic,https://www.merckgroup.com/en
2025-01-09 00:00:00+01:00,321.9,0.94,0.06,-0.68,13.91,31.6,61.72,MTX.DE,EQUITY,MTU Aero Engines AG,Industrials,Aerospace & Defense,https://www.mtu.de
2025-01-09 00:00:00+01:00,494.2,-2.1,0.55,-2.33,3.32,9.41,35.98,MUV2.DE,EQUITY,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,Insurance - Reinsurance,https://www.munichre.com
2025-01-09 00:00:00+01:00,59.56,-2.17,2.3,1.22,-16.11,-12.59,-20.72,P911.DE,EQUITY,Dr. Ing. h.c. F. Porsche AG,Consumer Cyclical,Auto Manufacturers,https://www.porsche.com/international
2025-01-09 00:00:00+01:00,35.6,-2.55,-1.82,3.94,-12.29,-15.7,-19.37,PAH3.DE,EQUITY,Porsche Automobil Holding SE,Consumer Cyclical,Auto Manufacturers,https://www.porsche-se.com
2025-01-09 00:00:00+01:00,44.19,0.59,1.27,6.53,9.65,16.86,6.07,QIA.DE,EQUITY,Qiagen N.V.,Healthcare,Diagnostics & Research,https://www.qiagen.com
