,date,open,high,low,close,month,year,week,quarter,daily_trend,weekly_trend,monthly_trend,quartely_trend,6_monthly_trend,yearly_trend,ema_5_day,sma_5_day,wma_5_day,ema_20_day,sma_20_day,wma_20_day,ema_50_day,sma_50_day,wma_50_day,ema_200_day,sma_200_day,wma_200_day
65,2021-06-14 00:00:00-04:00,125.22,125.96,124.6,125.9,6,2021,24,2,0.52,2.47,12.86,19.49,38.24,76.49,123.17,124.92,125.29,118.0,120.59,122.33,109.67,117.29,119.18,88.23,96.07,104.59
66,2021-06-15 00:00:00-04:00,126.07,126.41,125.2,125.58,6,2021,24,2,-0.25,1.52,11.44,22.25,38.54,75.14,123.57,125.3,125.51,118.36,121.08,122.81,109.98,117.58,119.51,88.42,96.29,104.88
67,2021-06-16 00:00:00-04:00,125.8,126.07,123.71,125.25,6,2021,24,2,-0.27,0.9,8.54,21.65,38.24,75.02,123.85,125.52,125.49,118.69,121.61,123.21,110.28,117.87,119.81,88.6,96.51,105.17
68,2021-06-17 00:00:00-04:00,125.07,126.74,125.07,125.92,6,2021,24,2,0.54,0.23,8.87,20.78,41.66,78.97,124.2,125.58,125.62,119.03,122.15,123.62,110.59,118.15,120.13,88.79,96.73,105.46
69,2021-06-18 00:00:00-04:00,125.26,125.94,124.16,125.12,6,2021,24,2,-0.64,-0.1,9.03,20.1,41.46,74.59,124.35,125.55,125.47,119.32,122.54,123.9,110.87,118.39,120.4,88.97,96.94,105.74
70,2021-06-21 00:00:00-04:00,125.29,126.58,124.69,126.0,6,2021,25,2,0.71,0.08,9.55,24.21,41.94,74.83,124.63,125.57,125.62,119.64,123.0,124.23,111.17,118.64,120.7,89.15,97.14,106.03
71,2021-06-22 00:00:00-04:00,126.0,126.81,125.58,126.54,6,2021,25,2,0.43,0.77,7.81,24.31,44.31,74.43,124.95,125.77,125.94,119.97,123.33,124.57,111.47,118.92,121.01,89.34,97.37,106.33
72,2021-06-23 00:00:00-04:00,126.1,127.34,125.8,126.01,6,2021,25,2,-0.42,0.61,7.85,24.07,43.07,72.54,125.12,125.92,126.03,120.26,123.63,124.82,111.76,119.18,121.29,89.52,97.6,106.61
73,2021-06-24 00:00:00-04:00,126.6,127.08,126.51,126.83,6,2021,25,2,0.65,0.72,5.77,24.0,44.39,81.33,125.41,126.1,126.33,120.57,123.91,125.13,112.05,119.47,121.58,89.71,97.85,106.9
74,2021-06-25 00:00:00-04:00,126.5,127.05,125.99,126.54,6,2021,25,2,-0.23,1.14,5.43,24.2,45.31,79.73,125.6,126.38,126.47,120.86,124.25,125.38,112.34,119.71,121.86,89.89,98.1,107.19
75,2021-06-28 00:00:00-04:00,126.55,126.88,125.52,126.37,6,2021,26,2,-0.14,0.29,4.23,24.07,46.53,78.64,125.72,126.46,126.47,121.12,124.56,125.58,112.61,119.95,122.12,90.07,98.35,107.47
76,2021-06-29 00:00:00-04:00,126.32,126.55,124.99,125.57,6,2021,26,2,-0.63,-0.77,4.91,23.82,44.9,74.7,125.7,126.26,126.17,121.33,124.79,125.67,112.87,120.17,122.34,90.25,98.6,107.74
77,2021-06-30 00:00:00-04:00,125.2,125.35,124.31,124.87,6,2021,26,2,-0.56,-0.91,3.93,21.91,45.42,72.72,125.56,126.03,125.71,121.5,125.0,125.68,113.1,120.38,122.53,90.42,98.84,108.0
78,2021-07-01 00:00:00-04:00,124.4,126.01,124.4,125.92,7,2021,26,3,0.84,-0.72,4.02,22.95,45.89,76.01,125.62,125.85,125.67,121.71,125.31,125.77,113.35,120.61,122.74,90.6,99.09,108.27
79,2021-07-02 00:00:00-04:00,126.39,128.39,126.32,128.26,7,2021,26,3,1.86,1.36,6.32,24.45,48.05,79.81,126.06,126.19,126.47,122.02,125.61,126.05,113.65,120.92,123.04,90.79,99.35,108.56
80,2021-07-06 00:00:00-04:00,128.99,129.42,127.95,129.31,7,2021,27,3,0.82,2.33,7.94,21.41,46.13,78.77,126.6,126.78,127.51,122.37,125.93,126.4,113.95,121.2,123.37,90.98,99.63,108.86
81,2021-07-07 00:00:00-04:00,129.87,130.17,129.3,129.61,7,2021,27,3,0.24,3.22,6.11,16.89,47.92,77.65,127.1,127.59,128.45,122.71,126.23,126.75,114.26,121.47,123.7,91.17,99.91,109.16
82,2021-07-08 00:00:00-04:00,127.79,129.57,127.58,128.71,7,2021,27,3,-0.69,3.08,4.76,16.13,48.52,80.42,127.37,128.36,128.82,123.0,126.46,126.99,114.54,121.75,123.99,91.36,100.2,109.44
83,2021-07-09 00:00:00-04:00,128.48,129.38,128.48,129.11,7,2021,27,3,0.31,2.54,4.38,15.19,47.93,79.8,127.66,129.0,129.07,123.29,126.63,127.24,114.83,121.96,124.28,91.54,100.48,109.73
84,2021-07-12 00:00:00-04:00,129.37,130.3,129.14,130.1,7,2021,28,3,0.76,1.43,4.81,15.27,51.09,92.02,128.07,129.37,129.44,123.61,126.88,127.57,115.13,122.14,124.6,91.74,100.78,110.02
85,2021-07-13 00:00:00-04:00,130.41,131.57,130.17,130.53,7,2021,28,3,0.33,0.94,3.9,14.61,50.49,87.81,128.48,129.61,129.83,123.94,127.11,127.92,115.43,122.35,124.92,91.93,101.07,110.32
86,2021-07-14 00:00:00-04:00,131.43,132.52,131.43,131.61,7,2021,28,3,0.83,1.54,5.08,17.16,52.23,86.87,129.0,130.01,130.49,124.31,127.41,128.35,115.75,122.59,125.29,92.13,101.37,110.62
87,2021-07-15 00:00:00-04:00,132.03,132.12,130.13,130.8,7,2021,28,3,-0.62,1.62,3.89,15.79,46.89,82.56,129.3,130.43,130.75,124.62,127.69,128.67,116.04,122.86,125.61,92.32,101.66,110.92
